"","age"
"2499",24
"2500",64
"2501",40
"2502",57
"2503",32
"2504",80
"2505",29
"2506",47
"2507",29
"2508",57
"2509",40
"2510",76
"2511",28
"2512",42
"2513",69
"2514",40
"2515",85
"2516",53
"2517",41
"2518",35
"2519",65
"2520",75
"2521",33
"2522",78
"2523",62
"2524",80
"2525",70
"2526",82
"2527",25
"2528",50
"2529",54
"2530",82
"2531",50
"2532",67
"2533",22
"2534",44
"2535",26
"2536",19
"2537",60
"2538",34
"2539",66
"2540",71
"2541",67
"2542",42
"2543",52
"2544",57
"2545",36
"2546",41
"2547",54
"2548",30
"2549",65
"2550",57
"2551",66
"2552",46
"2553",33
"2554",60
"2555",71
"2556",27
"2557",48
"2558",41
"2559",90
"2560",32
"2561",72
"2562",38
"2563",63
"2564",66
"2565",31
"2566",36
"2567",82
"2568",42
"2569",74
"2570",43
"2571",59
"2572",55
"2573",51
"2574",84
"2575",28
"2576",42
"2577",42
"2578",40
"2579",65
"2580",50
"2581",74
"2582",46
"2583",36
"2584",63
"2585",26
"2586",70
"2587",64
"2588",62
"2589",74
"2590",26
"2591",39
"2592",68
"2593",64
"2594",47
"2595",61
"2596",65
"2597",57
"2598",30
"2599",31
"2600",82
"2601",21
"2602",26
"2603",46
"2604",85
"2605",22
"2606",28
"2607",33
"2608",73
"2609",76
"2610",39
"2611",26
"2612",58
"2613",51
"2614",73
"2615",22
"2616",39
"2617",37
"2618",23
"2619",38
"2620",73
"2621",36
"2622",28
"2623",85
"2624",66
"2625",24
"2626",38
"2627",41
"2628",77
"2629",25
"2630",45
"2631",75
"2632",60
"2633",25
"2634",57
"2635",45
"2636",54
"2637",35
"2638",81
"2639",61
"2640",63
"2641",49
"2642",58
"2643",22
"2644",27
"2645",36
"2646",36
"2647",22
"2648",66
"2649",52
"2650",58
"2651",61
"2652",61
"2653",47
"2654",37
"2655",54
"2656",20
"2657",49
"2658",63
"2659",53
"2660",42
"2661",75
"2662",58
"2663",73
"2664",67
"2665",50
"2666",57
"2667",37
"2668",37
"2669",24
"2670",54
"2671",33
"2672",32
"2673",21
"2674",44
"2675",33
"2676",59
"2677",57
"2678",26
"2679",58
"2680",39
"2681",32
"2682",39
"2683",81
"2684",52
"2685",46
"2686",56
"2687",67
"2688",39
"2689",29
"2690",47
"2691",53
"2692",53
"2693",58
"2694",76
"2695",69
"2696",21
"2697",29
"2698",48
"2699",80
"2700",80
"2701",30
"2702",47
"2703",28
"2704",54
"2705",50
"2706",73
"2707",59
"2708",42
"2709",20
"2710",31
"2711",71
"2712",87
"2713",20
"2714",86
"2715",82
"2716",66
"2717",43
"2718",64
"2719",86
"2720",80
"2721",26
"2722",51
"2723",47
"2724",52
"2725",37
"2726",73
"2727",32
"2728",34
"2729",19
"2730",32
"2731",53
"2732",25
"2733",84
"2734",90
"2735",59
"2736",26
"2737",66
"2738",38
"2739",41
"2740",59
"2741",49
"2742",33
"2743",52
"2744",32
"2745",25
"2746",75
"2747",57
"2748",45
"2749",19
"2750",39
"2751",51
"2752",24
"2753",65
"2754",42
"2755",40
"2756",57
"2757",43
"2758",27
"2759",63
"2760",63
"2761",48
"2762",56
"2763",55
"2764",66
"2765",66
"2766",50
"2767",26
"2768",27
"2769",53
"2770",24
"2771",64
"2772",67
"2773",50
"2774",25
"2775",65
"2776",89
"2777",24
"2778",30
"2779",48
"2780",26
"2781",48
"2782",78
"2783",84
"2784",44
"2785",69
"2786",80
"2787",76
"2788",74
"2789",71
"2790",21
"2791",31
"2792",43
"2793",48
"2794",49
"2795",52
"2796",77
"2797",63
"2798",50
"2799",70
"2800",21
"2801",21
"2802",49
"2803",37
"2804",51
"2805",57
"2806",23
"2807",63
"2808",28
"2809",45
"2810",92
"2811",29
"2812",61
"2813",67
"2814",76
"2815",36
"2816",21
"2817",56
"2818",24
"2819",67
"2820",59
"2821",36
"2822",98
"2823",62
"2824",46
"2825",67
"2826",25
"2827",61
"2828",70
"2829",51
"2830",59
"2831",56
"2832",47
"2833",53
"2834",34
"2835",68
"2836",57
"2837",48
"2838",36
"2839",55
"2840",73
"2841",55
"2842",69
"2843",80
"2844",29
"2845",37
"2846",66
"2847",31
"2848",73
"2849",47
"2850",31
"2851",46
"2852",33
"2853",80
"2854",77
"2855",19
"2856",70
"2857",25
"2858",74
"2859",47
"2860",45
"2861",56
"2862",24
"2863",69
"2864",77
"2865",29
"2866",45
"2867",33
"2868",30
"2869",90
"2870",47
"2871",50
"2872",71
"2873",33
"2874",26
"2875",63
"2876",52
"2877",83
"2878",72
"2879",54
"2880",53
"2881",56
"2882",37
"2883",62
"2884",80
"2885",32
"2886",30
"2887",56
"2888",21
"2889",45
"2890",35
"2891",61
"2892",52
"2893",51
"2894",32
"2895",62
"2896",41
"2897",46
"2898",54
"2899",40
"2900",57
"2901",48
"2902",94
"2903",72
"2904",78
"2905",45
"2906",31
"2907",61
"2908",52
"2909",64
"2910",60
"2911",72
"2912",47
"2913",53
"2914",77
"2915",40
"2916",19
"2917",18
"2918",51
"2919",47
"2920",29
"2921",18
"2922",65
"2923",53
"2924",19
"2925",61
"2926",64
"2927",21
"2928",58
"2929",71
"2930",53
"2931",54
"2932",43
"2933",61
"2934",25
"2935",51
"2936",45
"2937",43
"2938",69
"2939",39
"2940",83
"2941",30
"2942",62
"2943",30
"2944",47
"2945",79
"2946",51
"2947",59
"2948",75
"2949",76
"2950",51
"2951",48
"2952",53
"2953",50
"2954",26
"2955",68
"2956",28
"2957",58
"2958",57
"2959",77
"2960",23
"2961",39
"2962",69
"2963",20
"2964",79
"2965",27
"2966",39
"2967",29
"2968",81
"2969",70
"2970",78
"2971",58
"2972",45
"2973",44
"2974",63
"2975",54
"2976",38
"2977",24
"2978",43
"2979",69
"2980",86
"2981",80
"2982",56
"2983",18
"2984",18
"2985",26
"2986",80
"2987",28
"2988",64
"2989",65
"2990",49
"2991",33
"2992",44
"2993",33
"2994",59
"2995",39
"2996",26
"2997",27
"2998",78
"2999",46
"3000",39
"3001",69
"3002",48
"3003",77
"3004",39
"3005",83
"3006",33
"3007",26
"3008",27
"3009",33
"3010",22
"3011",36
"3012",28
"3013",41
"3014",48
"3015",27
"3016",31
"3017",22
"3018",68
"3019",72
"3020",69
"3021",43
"3022",74
"3023",46
"3024",40
"3025",94
"3026",26
"3027",37
"3028",84
"3029",22
"3030",87
"3031",70
"3032",22
"3033",30
"3034",42
"3035",82
"3036",79
"3037",66
"3038",62
"3039",42
"3040",19
"3041",39
"3042",36
"3043",42
"3044",22
"3045",27
"3046",19
"3047",62
"3048",21
"3049",82
"3050",69
"3051",34
"3052",27
"3053",33
"3054",68
"3055",85
"3056",65
"3057",72
"3058",76
"3059",32
"3060",53
"3061",80
"3062",40
"3063",40
"3064",35
"3065",32
"3066",60
"3067",47
"3068",74
"3069",25
"3070",33
"3071",29
"3072",18
"3073",48
"3074",38
"3075",37
"3076",55
"3077",29
"3078",88
"3079",19
"3080",58
"3081",55
"3082",32
"3083",82
"3084",82
"3085",93
"3086",72
"3087",56
"3088",99
"3089",25
"3090",61
"3091",96
"3092",26
"3093",26
"3094",66
"3095",38
"3096",84
"3097",50
"3098",58
"3099",39
"3100",66
"3101",42
"3102",53
"3103",68
"3104",64
"3105",42
"3106",34
"3107",60
"3108",53
"3109",90
"3110",37
"3111",50
"3112",31
"3113",32
"3114",50
"3115",71
"3116",36
"3117",28
"3118",34
"3119",45
"3120",78
"3121",37
"3122",61
"3123",20
"3124",37
"3125",71
"3126",48
"3127",81
"3128",34
"3129",64
"3130",24
"3131",47
"3132",75
"3133",74
"3134",59
"3135",55
"3136",83
"3137",72
"3138",40
"3139",69
"3140",41
"3141",27
"3142",70
"3143",39
"3144",26
"3145",68
"3146",63
"3147",39
"3148",26
"3149",63
"3150",31
"3151",31
"3152",46
"3153",29
"3154",42
"3155",32
"3156",78
"3157",49
"3158",19
"3159",57
"3160",21
"3161",70
"3162",72
"3163",61
"3164",82
"3165",49
"3166",55
"3167",52
"3168",38
"3169",39
"3170",45
"3171",27
"3172",44
"3173",32
"3174",35
"3175",49
"3176",39
"3177",61
"3178",35
"3179",73
"3180",84
"3181",50
"3182",71
"3183",71
"3184",45
"3185",41
"3186",58
"3187",40
"3188",49
"3189",41
"3190",28
"3191",34
"3192",35
"3193",62
"3194",36
"3195",33
"3196",49
"3197",53
"3198",78
"3199",47
"3200",38
"3201",71
"3202",30
"3203",61
"3204",46
"3205",43
"3206",22
"3207",42
"3208",48
"3209",56
"3210",78
"3211",22
"3212",22
"3213",29
"3214",62
"3215",64
"3216",59
"3217",27
"3218",76
"3219",32
"3220",58
"3221",34
"3222",61
"3223",24
"3224",18
"3225",56
"3226",33
"3227",81
"3228",33
"3229",45
"3230",49
"3231",39
"3232",80
"3233",22
"3234",35
"3235",41
"3236",48
"3237",64
"3238",62
"3239",65
"3240",55
"3241",33
"3242",40
"3243",59
"3244",56
"3245",84
"3246",22
"3247",56
"3248",41
"3249",33
"3250",49
"3251",57
"3252",24
"3253",31
"3254",19
"3255",35
"3256",53
"3257",41
"3258",41
"3259",77
"3260",69
"3261",70
"3262",49
"3263",47
"3264",18
"3265",22
"3266",29
"3267",18
"3268",59
"3269",43
"3270",28
"3271",64
"3272",24
"3273",67
"3274",37
"3275",50
"3276",51
"3277",70
"3278",41
"3279",44
"3280",59
"3281",79
"3282",54
"3283",72
"3284",81
"3285",60
"3286",52
"3287",35
"3288",65
"3289",58
"3290",47
"3291",61
"3292",43
"3293",22
"3294",60
"3295",57
"3296",48
"3297",67
"3298",70
"3299",66
"3300",53
"3301",45
"3302",70
"3303",52
"3304",49
"3305",56
"3306",76
"3307",38
"3308",63
"3309",56
"3310",38
"3311",52
"3312",45
"3313",62
"3314",69
"3315",20
"3316",36
"3317",19
"3318",29
"3319",37
"3320",74
"3321",35
"3322",59
"3323",23
"3324",82
"3325",35
"3326",71
"3327",35
"3328",23
"3329",30
"3330",50
"3331",45
"3332",97
"3333",70
"3334",28
"3335",64
"3336",30
"3337",74
"3338",46
"3339",49
"3340",40
"3341",64
"3342",83
"3343",71
"3344",92
"3345",26
"3346",51
"3347",25
"3348",87
"3349",72
"3350",50
"3351",79
"3352",65
"3353",65
"3354",81
"3355",72
"3356",88
"3357",19
"3358",28
"3359",78
"3360",22
"3361",32
"3362",47
"3363",23
"3364",87
"3365",61
"3366",44
"3367",71
"3368",29
"3369",58
"3370",49
"3371",57
"3372",70
"3373",53
"3374",77
"3375",59
"3376",34
"3377",30
"3378",47
"3379",73
"3380",36
"3381",84
"3382",39
"3383",28
"3384",72
"3385",48
"3386",74
"3387",26
"3388",43
"3389",58
"3390",23
"3391",32
"3392",35
"3393",30
"3394",48
"3395",18
"3396",70
"3397",35
"3398",41
"3399",54
"3400",23
"3401",53
"3402",54
"3403",76
"3404",21
"3405",58
"3406",58
"3407",87
"3408",57
"3409",36
"3410",57
"3411",49
"3412",43
"3413",49
"3414",27
"3415",20
"3416",20
"3417",38
"3418",79
"3419",24
"3420",64
"3421",75
"3422",42
"3423",37
"3424",69
"3425",30
"3426",67
"3427",79
"3428",20
"3429",59
"3430",53
"3431",87
"3432",18
"3433",30
"3434",40
"3435",25
"3436",44
"3437",28
"3438",24
"3439",47
"3440",52
"3441",47
"3442",26
"3443",44
"3444",41
"3445",31
"3446",26
"3447",77
"3448",74
"3449",31
"3450",75
"3451",44
"3452",51
"3453",49
"3454",65
"3455",78
"3456",24
"3457",49
"3458",36
"3459",29
"3460",44
"3461",62
"3462",66
"3463",18
"3464",31
"3465",51
"3466",80
"3467",54
"3468",52
"3469",19
"3470",20
"3471",68
"3472",93
"3473",59
"3474",86
"3475",53
"3476",28
"3477",46
"3478",72
"3479",36
"3480",72
"3481",55
"3482",59
"3483",55
"3484",71
"3485",36
"3486",41
"3487",18
"3488",45
"3489",87
"3490",66
"3491",46
"3492",68
"3493",25
"3494",57
"3495",39
"3496",55
"3497",43
"3498",22
"3499",76
"3500",20
"3501",39
"3502",64
"3503",42
"3504",78
"3505",50
"3506",90
"3507",31
"3508",44
"3509",81
"3510",22
"3511",41
"3512",18
"3513",48
"3514",40
"3515",56
"3516",53
"3517",46
"3518",37
"3519",36
"3520",85
"3521",58
"3522",73
"3523",64
"3524",37
"3525",57
"3526",61
"3527",35
"3528",47
"3529",47
"3530",54
"3531",53
"3532",52
"3533",45
"3534",45
"3535",49
"3536",50
"3537",69
"3538",39
"3539",27
"3540",30
"3541",34
"3542",42
"3543",77
"3544",64
"3545",86
"3546",76
"3547",92
"3548",65
"3549",60
"3550",42
"3551",43
"3552",20
"3553",50
"3554",21
"3555",33
"3556",43
"3557",70
"3558",39
"3559",47
"3560",35
"3561",86
"3562",26
"3563",63
"3564",30
"3565",72
"3566",28
"3567",76
"3568",62
"3569",65
"3570",51
"3571",68
"3572",32
"3573",67
"3574",36
"3575",41
"3576",89
"3577",23
"3578",43
"3579",40
"3580",65
"3581",61
"3582",67
"3583",38
"3584",31
"3585",39
"3586",23
"3587",71
"3588",71
"3589",25
"3590",24
"3591",77
"3592",73
"3593",80
"3594",51
"3595",56
"3596",22
"3597",46
"3598",29
"3599",18
"3600",28
"3601",56
"3602",32
"3603",54
"3604",48
"3605",84
"3606",69
"3607",56
"3608",42
"3609",59
"3610",66
"3611",52
"3612",77
"3613",32
"3614",56
"3615",72
"3616",63
"3617",84
"3618",59
"3619",35
"3620",59
"3621",68
"3622",59
"3623",34
"3624",53
"3625",65
"3626",89
"3627",89
"3628",58
"3629",57
"3630",46
"3631",23
"3632",66
"3633",42
"3634",78
"3635",51
"3636",19
"3637",29
"3638",80
"3639",53
"3640",41
"3641",61
"3642",18
"3643",73
"3644",22
"3645",77
"3646",76
"3647",24
"3648",55
"3649",71
"3650",52
"3651",65
"3652",53
"3653",22
"3654",64
"3655",74
"3656",58
"3657",20
"3658",62
"3659",22
"3660",18
"3661",33
"3662",53
"3663",59
"3664",40
"3665",36
"3666",20
"3667",20
"3668",52
"3669",30
"3670",70
"3671",55
"3672",19
"3673",39
"3674",43
"3675",28
"3676",40
"3677",35
"3678",72
"3679",87
"3680",78
"3681",74
"3682",35
"3683",48
"3684",63
"3685",64
"3686",81
"3687",53
"3688",41
"3689",66
"3690",26
"3691",62
"3692",60
"3693",39
"3694",59
"3695",65
"3696",32
"3697",63
"3698",61
"3699",45
"3700",71
"3701",62
"3702",46
"3703",97
"3704",69
"3705",57
"3706",73
"3707",48
"3708",23
"3709",65
"3710",37
"3711",53
"3712",56
"3713",62
"3714",69
"3715",80
"3716",29
"3717",75
"3718",43
"3719",55
"3720",55
"3721",81
"3722",32
"3723",26
"3724",29
"3725",61
"3726",50
"3727",61
"3728",74
"3729",52
"3730",27
"3731",63
"3732",47
"3733",56
"3734",69
"3735",66
"3736",26
"3737",25
"3738",31
"3739",61
"3740",19
"3741",59
"3742",34
"3743",72
"3744",84
"3745",47
"3746",58
"3747",61
"3748",87
"3749",45
"3750",22
"3751",52
"3752",56
"3753",41
"3754",31
"3755",48
"3756",19
"3757",19
"3758",66
"3759",43
"3760",62
"3761",38
"3762",41
"3763",69
"3764",68
"3765",68
"3766",71
"3767",55
"3768",57
"3769",40
"3770",45
"3771",26
"3772",18
"3773",36
"3774",54
"3775",71
"3776",27
"3777",36
"3778",71
"3779",69
"3780",52
"3781",26
"3782",55
"3783",21
"3784",20
"3785",65
"3786",72
"3787",57
"3788",28
"3789",60
"3790",57
"3791",87
"3792",39
"3793",41
"3794",76
"3795",24
"3796",43
"3797",22
"3798",54
"3799",19
"3800",28
"3801",39
"3802",81
"3803",35
"3804",62
"3805",30
"3806",55
"3807",31
"3808",52
"3809",55
"3810",43
"3811",30
"3812",87
"3813",76
"3814",28
"3815",28
"3816",42
"3817",32
"3818",53
"3819",63
"3820",41
"3821",50
"3822",60
"3823",56
"3824",72
"3825",75
"3826",45
"3827",42
"3828",53
"3829",43
"3830",25
"3831",55
"3832",24
"3833",38
"3834",46
"3835",25
"3836",53
"3837",67
"3838",76
"3839",47
"3840",36
"3841",29
"3842",24
"3843",78
"3844",56
"3845",48
"3846",43
"3847",68
"3848",40
"3849",31
"3850",57
"3851",74
"3852",47
"3853",32
"3854",39
"3855",23
"3856",27
"3857",60
"3858",61
"3859",52
"3860",46
"3861",65
"3862",37
"3863",61
"3864",21
"3865",82
"3866",53
"3867",59
"3868",39
"3869",68
"3870",47
"3871",74
"3872",56
"3873",82
"3874",59
"3875",58
"3876",49
"3877",26
"3878",29
"3879",36
"3880",35
"3881",77
"3882",22
"3883",57
"3884",24
"3885",38
"3886",29
"3887",77
"3888",70
"3889",85
"3890",56
"3891",55
"3892",45
"3893",38
"3894",50
"3895",79
"3896",28
"3897",46
"3898",39
"3899",49
"3900",59
"3901",82
"3902",77
"3903",18
"3904",54
"3905",59
"3906",28
"3907",81
"3908",66
"3909",36
"3910",25
"3911",71
"3912",58
"3913",30
"3914",74
"3915",54
"3916",69
"3917",62
"3918",43
"3919",20
"3920",25
"3921",31
"3922",76
"3923",40
"3924",63
"3925",26
"3926",53
"3927",24
"3928",51
"3929",27
"3930",76
"3931",71
"3932",31
"3933",28
"3934",47
"3935",23
"3936",27
"3937",74
"3938",41
"3939",32
"3940",54
"3941",42
"3942",78
"3943",28
"3944",41
"3945",61
"3946",65
"3947",59
"3948",47
"3949",56
"3950",60
"3951",77
"3952",70
"3953",43
"3954",43
"3955",59
"3956",18
"3957",41
"3958",18
"3959",30
"3960",50
"3961",74
"3962",27
"3963",60
"3964",42
"3965",70
"3966",57
"3967",51
"3968",51
"3969",39
"3970",73
"3971",33
"3972",31
"3973",32
"3974",76
"3975",63
"3976",35
"3977",70
"3978",65
"3979",30
"3980",25
"3981",20
"3982",21
"3983",57
"3984",55
"3985",48
"3986",31
"3987",23
"3988",23
"3989",47
"3990",53
"3991",23
"3992",79
"3993",41
"3994",37
"3995",22
"3996",58
"3997",36
"3998",85
"3999",66
"4000",77
"4001",38
"4002",27
"4003",41
"4004",51
"4005",52
"4006",58
"4007",43
"4008",53
"4009",68
"4010",72
"4011",44
"4012",53
"4013",25
"4014",52
"4015",54
"4016",80
"4017",39
"4018",64
"4019",80
"4020",73
"4021",52
"4022",55
"4023",36
"4024",25
"4025",85
"4026",60
"4027",19
"4028",86
"4029",64
"4030",24
"4031",60
"4032",68
"4033",33
"4034",84
"4035",31
"4036",68
"4037",35
"4038",25
"4039",20
"4040",77
"4041",65
"4042",49
"4043",49
"4044",40
"4045",44
"4046",49
"4047",39
"4048",91
"4049",41
"4050",33
"4051",47
"4052",29
"4053",56
"4054",57
"4055",28
"4056",61
"4057",56
"4058",78
"4059",55
"4060",43
"4061",64
"4062",21
"4063",77
"4064",77
"4065",66
"4066",69
"4067",36
"4068",69
"4069",64
"4070",29
"4071",60
"4072",70
"4073",24
"4074",44
"4075",40
"4076",80
"4077",21
"4078",56
"4079",41
"4080",26
"4081",79
"4082",78
"4083",57
"4084",60
"4085",60
"4086",49
"4087",56
"4088",28
"4089",74
"4090",31
"4091",55
"4092",72
"4093",67
"4094",78
"4095",40
"4096",85
"4097",71
"4098",29
"4099",36
"4100",69
"4101",94
"4102",59
"4103",57
"4104",34
"4105",41
"4106",64
"4107",82
"4108",58
"4109",71
"4110",47
"4111",69
"4112",43
"4113",21
"4114",42
"4115",50
"4116",81
"4117",57
"4118",58
"4119",38
"4120",41
"4121",60
"4122",71
"4123",32
"4124",22
"4125",81
"4126",68
"4127",65
"4128",64
"4129",86
"4130",57
"4131",32
"4132",18
"4133",40
"4134",82
"4135",43
"4136",38
"4137",57
"4138",28
"4139",40
"4140",57
"4141",76
"4142",50
"4143",90
"4144",59
"4145",38
"4146",85
"4147",51
"4148",59
"4149",30
"4150",49
"4151",80
"4152",72
"4153",77
"4154",73
"4155",75
"4156",35
"4157",60
"4158",86
"4159",57
"4160",28
"4161",76
"4162",77
"4163",40
"4164",46
"4165",37
"4166",22
"4167",37
"4168",84
"4169",48
"4170",71
"4171",70
"4172",37
"4173",29
"4174",66
"4175",88
"4176",54
"4177",55
"4178",66
"4179",35
"4180",35
"4181",24
"4182",28
"4183",32
"4184",25
"4185",23
"4186",39
"4187",74
"4188",41
"4189",63
"4190",26
"4191",34
"4192",52
"4193",78
"4194",29
"4195",76
"4196",34
"4197",73
"4198",20
"4199",56
"4200",39
"4201",39
"4202",54
"4203",42
"4204",70
"4205",81
"4206",39
"4207",38
"4208",55
"4209",44
"4210",68
"4211",65
"4212",55
"4213",58
"4214",35
"4215",27
"4216",58
"4217",75
"4218",79
"4219",85
"4220",36
"4221",75
"4222",63
"4223",39
"4224",33
"4225",36
"4226",85
"4227",72
"4228",90
"4229",28
"4230",33
"4231",65
"4232",82
"4233",56
"4234",59
"4235",51
"4236",53
"4237",31
"4238",50
"4239",64
"4240",58
"4241",68
"4242",23
"4243",74
"4244",70
"4245",41
"4246",55
"4247",90
"4248",29
"4249",57
"4250",70
"4251",50
"4252",26
"4253",76
"4254",53
"4255",67
"4256",68
"4257",23
"4258",34
"4259",46
"4260",73
"4261",34
"4262",39
"4263",36
"4264",42
"4265",23
"4266",38
"4267",19
"4268",88
"4269",32
"4270",21
"4271",63
"4272",75
"4273",38
"4274",57
"4275",59
"4276",58
"4277",53
"4278",69
"4279",42
"4280",37
"4281",59
"4282",41
"4283",87
"4284",27
"4285",40
"4286",19
"4287",21
"4288",61
"4289",48
"4290",45
"4291",50
"4292",25
"4293",43
"4294",33
"4295",47
"4296",45
"4297",21
"4298",69
"4299",36
"4300",40
"4301",59
"4302",59
"4303",36
"4304",56
"4305",48
"4306",21
"4307",33
"4308",84
"4309",20
"4310",44
"4311",45
"4312",69
"4313",81
"4314",26
"4315",61
"4316",42
"4317",87
"4318",22
"4319",23
"4320",49
"4321",56
"4322",55
"4323",63
"4324",24
"4325",53
"4326",51
"4327",52
"4328",38
"4329",58
"4330",34
"4331",75
"4332",79
"4333",56
"4334",23
"4335",44
"4336",29
"4337",53
"4338",53
"4339",24
"4340",29
"4341",52
"4342",27
"4343",36
"4344",39
"4345",67
"4346",61
"4347",57
"4348",43
"4349",48
"4350",33
"4351",54
"4352",25
"4353",35
"4354",53
"4355",28
"4356",18
"4357",55
"4358",52
"4359",74
"4360",40
"4361",25
"4362",86
"4363",57
"4364",79
"4365",55
"4366",48
"4367",57
"4368",36
"4369",48
"4370",62
"4371",55
"4372",53
"4373",47
"4374",46
"4375",63
"4376",98
"4377",48
"4378",63
"4379",36
"4380",62
"4381",18
"4382",72
"4383",28
"4384",76
"4385",41
"4386",65
"4387",22
"4388",93
"4389",53
"4390",35
"4391",74
"4392",84
"4393",40
"4394",31
"4395",47
"4396",66
"4397",59
"4398",55
"4399",86
"4400",39
"4401",71
"4402",47
"4403",51
"4404",29
"4405",55
"4406",19
"4407",24
"4408",32
"4409",73
"4410",69
"4411",25
"4412",62
"4413",27
"4414",18
"4415",34
"4416",67
"4417",59
"4418",51
"4419",77
"4420",43
"4421",73
"4422",25
"4423",59
"4424",61
"4425",63
"4426",39
"4427",70
"4428",74
"4429",42
"4430",27
"4431",75
"4432",63
"4433",21
"4434",58
"4435",48
"4436",49
"4437",19
"4438",19
"4439",46
"4440",34
"4441",34
"4442",42
"4443",42
"4444",41
"4445",55
"4446",23
"4447",70
"4448",33
"4449",40
"4450",59
"4451",57
"4452",69
"4453",57
"4454",44
"4455",46
"4456",30
"4457",64
"4458",27
"4459",54
"4460",72
"4461",61
"4462",52
"4463",27
"4464",70
"4465",25
"4466",51
"4467",61
"4468",23
"4469",33
"4470",23
"4471",77
"4472",45
"4473",25
"4474",47
"4475",36
"4476",54
"4477",51
"4478",30
"4479",44
"4480",44
"4481",48
"4482",46
"4483",37
"4484",61
"4485",66
"4486",69
"4487",30
"4488",63
"4489",57
"4490",44
"4491",71
"4492",42
"4493",73
"4494",75
"4495",31
"4496",60
"4497",38
"4498",36
"4499",28
"4500",32
"4501",69
"4502",68
"4503",28
"4504",19
"4505",34
"4506",41
"4507",28
"4508",24
"4509",81
"4510",86
"4511",62
"4512",56
"4513",49
"4514",58
"4515",65
"4516",32
"4517",57
"4518",30
"4519",19
"4520",33
"4521",62
"4522",71
"4523",87
"4524",56
"4525",37
"4526",57
"4527",68
"4528",19
"4529",54
"4530",46
"4531",64
"4532",51
"4533",27
"4534",34
"4535",61
"4536",73
"4537",24
"4538",65
"4539",61
"4540",75
"4541",54
"4542",76
"4543",41
"4544",80
"4545",45
"4546",73
"4547",68
"4548",36
"4549",55
"4550",33
"4551",51
"4552",45
"4553",55
"4554",38
"4555",39
"4556",26
"4557",58
"4558",36
"4559",59
"4560",28
"4561",52
"4562",38
"4563",68
"4564",45
"4565",60
"4566",55
"4567",22
"4568",32
"4569",60
"4570",40
"4571",53
"4572",79
"4573",43
"4574",88
"4575",56
"4576",27
"4577",42
"4578",81
"4579",37
"4580",42
"4581",44
"4582",64
"4583",83
"4584",63
"4585",60
"4586",39
"4587",21
"4588",46
"4589",48
"4590",51
"4591",66
"4592",63
"4593",31
"4594",72
"4595",26
"4596",39
"4597",70
"4598",31
"4599",73
"4600",26
"4601",86
"4602",31
"4603",30
"4604",83
"4605",58
"4606",61
"4607",47
"4608",31
"4609",22
"4610",44
"4611",33
"4612",51
"4613",57
"4614",63
"4615",35
"4616",89
"4617",77
"4618",66
"4619",71
"4620",53
"4621",39
"4622",18
"4623",18
"4624",61
"4625",49
"4626",72
"4627",62
"4628",50
"4629",46
"4630",18
"4631",40
"4632",74
"4633",28
"4634",46
"4635",67
"4636",40
"4637",81
"4638",59
"4639",63
"4640",61
"4641",63
"4642",51
"4643",65
"4644",33
"4645",64
"4646",19
"4647",63
"4648",40
"4649",34
"4650",38
"4651",19
"4652",59
"4653",38
"4654",30
"4655",34
"4656",64
"4657",69
"4658",89
"4659",35
"4660",20
"4661",73
"4662",23
"4663",60
"4664",53
"4665",35
"4666",66
"4667",58
"4668",76
"4669",30
"4670",21
"4671",82
"4672",34
"4673",65
"4674",28
"4675",62
"4676",85
"4677",75
"4678",57
"4679",33
"4680",45
"4681",59
"4682",48
"4683",70
"4684",73
"4685",75
"4686",29
"4687",39
"4688",71
"4689",68
"4690",62
"4691",52
"4692",43
"4693",52
"4694",37
"4695",48
"4696",62
"4697",67
"4698",63
"4699",65
"4700",21
"4701",49
"4702",59
"4703",22
"4704",58
"4705",29
"4706",34
"4707",25
"4708",72
"4709",58
"4710",24
"4711",37
"4712",59
"4713",68
"4714",47
"4715",71
"4716",27
"4717",68
"4718",59
"4719",66
"4720",44
"4721",57
"4722",74
"4723",57
"4724",40
"4725",51
"4726",31
"4727",47
"4728",83
"4729",31
"4730",47
"4731",31
"4732",18
"4733",78
"4734",72
"4735",29
"4736",45
"4737",36
"4738",20
"4739",60
"4740",18
"4741",26
"4742",57
"4743",86
"4744",66
"4745",49
"4746",38
"4747",54
"4748",40
"4749",79
"4750",47
"4751",25
"4752",20
"4753",84
"4754",62
"4755",51
"4756",39
"4757",47
"4758",63
"4759",56
"4760",44
"4761",35
"4762",80
"4763",25
"4764",26
"4765",33
"4766",29
"4767",49
"4768",58
"4769",27
"4770",84
"4771",85
"4772",43
"4773",47
"4774",34
"4775",19
"4776",52
"4777",27
"4778",41
"4779",29
"4780",44
"4781",19
"4782",57
"4783",23
"4784",19
"4785",47
"4786",66
"4787",33
"4788",73
"4789",36
"4790",86
"4791",59
"4792",57
"4793",57
"4794",26
"4795",72
"4796",47
"4797",83
"4798",61
"4799",22
"4800",48
"4801",41
"4802",33
"4803",53
"4804",53
"4805",67
"4806",39
"4807",91
"4808",68
"4809",33
"4810",69
"4811",89
"4812",43
"4813",35
"4814",65
"4815",35
"4816",29
"4817",56
"4818",21
"4819",55
"4820",47
"4821",22
"4822",40
"4823",48
"4824",66
"4825",24
"4826",38
"4827",57
"4828",49
"4829",39
"4830",27
