"","age","gender","status","salary","bank","activity","amount","challenge"
"1424",90,"Male","Widowed",5968,"bandit-donsaluste","Brass Animals",63,"OTP"
"1425",45,"Male","Married",4058,"bandit-picsou","Dachshunds",527,"OTP"
"1426",29,"Female","Single",3687,"bandit-picsou","Trading Cards",58,"EMAIL"
"1427",68,"Male","Married",4788,"bandit-profit","Brass Animals",69,"ID"
"1428",59,"Male","Married",4999,"bandit-profit","Dachshunds",301,"SMS"
"1429",46,"Female","Married",3583,"bandit-donsaluste","Trading Cards",61,"EMAIL"
"1430",35,"Female","Married",3736,"bandit-radinou","Trading Cards",58,"SMS"
"1431",20,"Male","Single",2352,"bandit-picsou","Dachshunds",483,"ID"
"1432",49,"Male","Single",4436,"bandit-donsaluste","Dachshunds",432,"ID"
"1433",47,"Female","Single",4204,"bandit-profit","Trading Cards",32,"SMS"
"1434",63,"Female","Married",4334,"bandit-donsaluste","Trading Cards",55,"OTP"
"1435",22,"Male","Single",2706,"bandit-radinou","Dachshunds",525,"EMAIL"
"1436",26,"Female","Single",3425,"bandit-profit","Brass Animals",88,"EMAIL"
"1437",71,"Male","Married",5653,"bandit-picsou","Dachshunds",512,"ID"
"1438",21,"Male","Single",2653,"bandit-picsou","Dachshunds",269,"SMS"
"1439",71,"Male","Married",5249,"bandit-profit","Dachshunds",417,"ID"
"1440",65,"Female","Married",4717,"bandit-donsaluste","Dachshunds",404,"OTP"
"1441",72,"Female","Married",5063,"bandit-picsou","Dachshunds",383,"OTP"
"1442",51,"Male","Single",4230,"bandit-donsaluste","Dachshunds",427,"OTP"
"1443",40,"Female","Single",4192,"bandit-profit","Trading Cards",51,"OTP"
"1444",44,"Female","Married",3694,"bandit-picsou","Trading Cards",55,"EMAIL"
"1445",83,"Female","Divorced",4743,"bandit-donsaluste","Brass Animals",72,"SMS"
"1446",73,"Female","Married",4880,"bandit-donsaluste","Brass Animals",101,"ID"
"1447",49,"Male","Single",3813,"bandit-picsou","Trading Cards",51,"OTP"
"1448",63,"Male","Divorced",5096,"bandit-profit","Dachshunds",295,"ID"
"1449",27,"Female","Single",2582,"bandit-radinou","Dachshunds",467,"OTP"
"1450",37,"Male","Divorced",3355,"bandit-donsaluste","Dachshunds",537,"SMS"
"1451",44,"Female","Single",4102,"bandit-picsou","Trading Cards",53,"OTP"
"1452",20,"Female","Single",2354,"bandit-donsaluste","Dachshunds",437,"SMS"
"1453",29,"Female","Single",3311,"bandit-radinou","Trading Cards",65,"EMAIL"
"1454",74,"Male","Widowed",4751,"bandit-donsaluste","Brass Animals",91,"ID"
"1455",70,"Female","Widowed",5322,"bandit-radinou","Brass Animals",83,"ID"
"1456",74,"Female","Married",5022,"bandit-profit","Dachshunds",374,"OTP"
"1457",56,"Female","Married",4637,"bandit-profit","Dachshunds",375,"OTP"
"1458",84,"Male","Married",4715,"bandit-donsaluste","Dachshunds",354,"OTP"
"1459",39,"Male","Married",3605,"bandit-donsaluste","Dachshunds",411,"EMAIL"
"1460",56,"Female","Single",5358,"bandit-donsaluste","Dachshunds",387,"OTP"
"1461",34,"Female","Single",3304,"bandit-picsou","Trading Cards",55,"ID"
"1462",59,"Female","Married",4786,"bandit-donsaluste","Dachshunds",271,"ID"
"1463",41,"Female","Single",3772,"bandit-profit","Dachshunds",508,"SMS"
"1464",75,"Female","Married",4883,"bandit-radinou","Brass Animals",66,"OTP"
"1465",33,"Male","Married",3181,"bandit-picsou","Dachshunds",329,"EMAIL"
"1466",26,"Female","Single",3161,"bandit-picsou","Dachshunds",452,"SMS"
"1467",37,"Male","Single",3533,"bandit-picsou","Trading Cards",58,"EMAIL"
"1468",33,"Male","Single",3896,"bandit-picsou","Trading Cards",40,"EMAIL"
"1469",21,"Female","Single",2672,"bandit-profit","Trading Cards",46,"SMS"
"1470",40,"Female","Married",3596,"bandit-profit","Dachshunds",422,"ID"
"1471",53,"Male","Married",4750,"bandit-profit","Dachshunds",352,"EMAIL"
"1472",70,"Female","Married",5251,"bandit-profit","Brass Animals",117,"EMAIL"
"1473",24,"Male","Single",2490,"bandit-picsou","Dachshunds",403,"EMAIL"
"1474",49,"Male","Married",3782,"bandit-donsaluste","Brass Animals",114,"EMAIL"
"1475",61,"Female","Single",5030,"bandit-picsou","Dachshunds",480,"OTP"
"1476",24,"Female","Single",2174,"bandit-profit","Trading Cards",55,"SMS"
"1477",39,"Female","Single",4417,"bandit-profit","Trading Cards",49,"OTP"
"1478",70,"Male","Married",5027,"bandit-profit","Trading Cards",52,"OTP"
"1479",78,"Female","Widowed",5188,"bandit-picsou","Brass Animals",99,"ID"
"1480",34,"Male","Single",2929,"bandit-picsou","Trading Cards",48,"OTP"
"1481",35,"Male","Married",4408,"bandit-radinou","Dachshunds",464,"OTP"
"1482",50,"Male","Single",4221,"bandit-profit","Dachshunds",404,"OTP"
"1483",29,"Male","Single",2669,"bandit-picsou","Trading Cards",59,"EMAIL"
"1484",30,"Male","Single",3140,"bandit-picsou","Brass Animals",128,"SMS"
"1485",47,"Female","Divorced",3438,"bandit-donsaluste","Brass Animals",91,"SMS"
"1486",27,"Female","Single",2833,"bandit-donsaluste","Trading Cards",50,"EMAIL"
"1487",45,"Female","Divorced",4462,"bandit-donsaluste","Dachshunds",444,"EMAIL"
"1488",74,"Female","Divorced",5380,"bandit-profit","Dachshunds",393,"ID"
"1489",56,"Female","Divorced",4763,"bandit-profit","Brass Animals",136,"OTP"
"1490",87,"Female","Married",5181,"bandit-profit","Dachshunds",345,"EMAIL"
"1491",82,"Female","Widowed",4902,"bandit-picsou","Brass Animals",111,"OTP"
"1492",65,"Female","Married",4857,"bandit-profit","Dachshunds",408,"ID"
"1493",55,"Female","Single",3624,"bandit-profit","Dachshunds",398,"ID"
"1494",29,"Female","Married",3508,"bandit-radinou","Trading Cards",58,"EMAIL"
"1495",20,"Male","Single",1964,"bandit-profit","Brass Animals",96,"OTP"
"1496",44,"Female","Married",4778,"bandit-picsou","Brass Animals",89,"OTP"
"1497",31,"Male","Married",3558,"bandit-picsou","Dachshunds",404,"EMAIL"
"1498",52,"Male","Married",4630,"bandit-donsaluste","Dachshunds",460,"OTP"
"1499",43,"Female","Married",4328,"bandit-radinou","Brass Animals",136,"SMS"
"1500",42,"Female","Married",4027,"bandit-donsaluste","Dachshunds",400,"OTP"
"1501",87,"Female","Widowed",4376,"bandit-profit","Trading Cards",53,"OTP"
"1502",75,"Female","Widowed",4922,"bandit-profit","Dachshunds",421,"EMAIL"
"1503",45,"Male","Married",4243,"bandit-donsaluste","Dachshunds",402,"SMS"
"1504",21,"Male","Single",2025,"bandit-picsou","Trading Cards",60,"SMS"
"1505",60,"Male","Married",4636,"bandit-radinou","Dachshunds",512,"ID"
"1506",47,"Female","Single",4789,"bandit-picsou","Trading Cards",53,"OTP"
"1507",27,"Male","Single",2728,"bandit-profit","Dachshunds",306,"OTP"
"1508",49,"Male","Single",2976,"bandit-profit","Trading Cards",37,"SMS"
"1509",80,"Male","Widowed",5095,"bandit-radinou","Brass Animals",85,"OTP"
"1510",68,"Male","Divorced",4853,"bandit-profit","Trading Cards",61,"ID"
"1511",47,"Female","Married",4206,"bandit-profit","Dachshunds",397,"OTP"
"1512",54,"Female","Divorced",4475,"bandit-picsou","Dachshunds",553,"OTP"
"1513",85,"Male","Widowed",5280,"bandit-donsaluste","Brass Animals",98,"ID"
"1514",63,"Male","Widowed",4529,"bandit-donsaluste","Brass Animals",102,"ID"
"1515",32,"Male","Married",3266,"bandit-radinou","Dachshunds",416,"EMAIL"
"1516",31,"Female","Single",3972,"bandit-donsaluste","Trading Cards",47,"EMAIL"
"1517",22,"Female","Single",2246,"bandit-radinou","Trading Cards",59,"OTP"
"1518",18,"Male","Single",2087,"bandit-picsou","Trading Cards",52,"OTP"
"1519",53,"Female","Married",4498,"bandit-picsou","Dachshunds",381,"OTP"
"1520",26,"Female","Single",2631,"bandit-picsou","Dachshunds",359,"ID"
"1521",89,"Female","Married",4189,"bandit-profit","Dachshunds",413,"ID"
"1522",31,"Female","Single",3118,"bandit-profit","Trading Cards",58,"EMAIL"
"1523",35,"Female","Single",3735,"bandit-profit","Dachshunds",107,"OTP"
"1524",43,"Male","Single",3283,"bandit-donsaluste","Trading Cards",48,"EMAIL"
"1525",46,"Male","Divorced",4705,"bandit-profit","Trading Cards",42,"SMS"
"1526",56,"Female","Married",5007,"bandit-donsaluste","Dachshunds",435,"OTP"
"1527",60,"Female","Divorced",4702,"bandit-profit","Dachshunds",554,"OTP"
"1528",73,"Female","Married",5127,"bandit-picsou","Trading Cards",46,"OTP"
"1529",23,"Female","Single",2556,"bandit-donsaluste","Trading Cards",30,"EMAIL"
"1530",71,"Female","Divorced",5097,"bandit-profit","Dachshunds",475,"ID"
"1531",89,"Male","Married",4597,"bandit-profit","Dachshunds",461,"ID"
"1532",52,"Female","Married",3958,"bandit-radinou","Dachshunds",295,"SMS"
"1533",38,"Male","Single",4219,"bandit-picsou","Dachshunds",382,"EMAIL"
"1534",25,"Male","Single",2909,"bandit-donsaluste","Dachshunds",397,"SMS"
"1535",71,"Female","Divorced",5154,"bandit-profit","Brass Animals",115,"OTP"
"1536",45,"Male","Single",4532,"bandit-donsaluste","Dachshunds",488,"OTP"
"1537",72,"Female","Divorced",5110,"bandit-donsaluste","Brass Animals",74,"ID"
"1538",24,"Male","Single",2996,"bandit-radinou","Trading Cards",67,"SMS"
"1539",33,"Female","Married",3457,"bandit-radinou","Brass Animals",74,"ID"
"1540",58,"Male","Married",4217,"bandit-profit","Dachshunds",192,"SMS"
"1541",39,"Female","Single",4249,"bandit-radinou","Trading Cards",48,"OTP"
"1542",45,"Female","Married",4781,"bandit-picsou","Dachshunds",366,"OTP"
"1543",55,"Male","Divorced",4815,"bandit-profit","Brass Animals",77,"EMAIL"
"1544",28,"Female","Single",2941,"bandit-donsaluste","Trading Cards",57,"OTP"
"1545",26,"Male","Single",3029,"bandit-donsaluste","Trading Cards",49,"OTP"
"1546",68,"Female","Divorced",5393,"bandit-donsaluste","Dachshunds",410,"OTP"
"1547",65,"Male","Divorced",4799,"bandit-profit","Dachshunds",409,"OTP"
"1548",40,"Female","Married",4438,"bandit-profit","Brass Animals",90,"SMS"
"1549",93,"Male","Married",4842,"bandit-donsaluste","Trading Cards",50,"OTP"
"1550",66,"Female","Widowed",5168,"bandit-donsaluste","Trading Cards",55,"ID"
"1551",21,"Male","Single",2874,"bandit-profit","Trading Cards",49,"OTP"
"1552",64,"Male","Married",5871,"bandit-picsou","Brass Animals",129,"ID"
"1553",53,"Male","Married",3581,"bandit-donsaluste","Brass Animals",134,"ID"
"1554",34,"Male","Married",3595,"bandit-picsou","Dachshunds",449,"EMAIL"
"1555",72,"Male","Widowed",4890,"bandit-picsou","Dachshunds",417,"SMS"
"1556",61,"Female","Married",5196,"bandit-profit","Trading Cards",53,"EMAIL"
"1557",36,"Female","Married",4264,"bandit-picsou","Trading Cards",59,"SMS"
"1558",35,"Female","Married",3807,"bandit-donsaluste","Dachshunds",286,"EMAIL"
"1559",36,"Female","Single",3039,"bandit-picsou","Dachshunds",392,"OTP"
"1560",63,"Female","Married",4570,"bandit-donsaluste","Dachshunds",365,"ID"
"1561",69,"Female","Married",5024,"bandit-profit","Dachshunds",444,"ID"
"1562",40,"Female","Married",4264,"bandit-picsou","Dachshunds",459,"OTP"
"1563",73,"Female","Married",4860,"bandit-profit","Dachshunds",412,"OTP"
"1564",31,"Male","Married",3687,"bandit-picsou","Dachshunds",367,"ID"
"1565",23,"Male","Single",2779,"bandit-radinou","Trading Cards",35,"OTP"
"1566",50,"Male","Married",3173,"bandit-picsou","Brass Animals",121,"OTP"
"1567",56,"Male","Married",4869,"bandit-donsaluste","Brass Animals",80,"OTP"
"1568",39,"Male","Single",3933,"bandit-picsou","Trading Cards",32,"EMAIL"
"1569",30,"Female","Single",2978,"bandit-picsou","Trading Cards",50,"OTP"
"1570",49,"Male","Divorced",4596,"bandit-radinou","Dachshunds",466,"SMS"
"1571",72,"Male","Married",5228,"bandit-profit","Brass Animals",96,"OTP"
"1572",35,"Male","Single",3750,"bandit-picsou","Brass Animals",130,"OTP"
"1573",92,"Female","Widowed",4929,"bandit-profit","Brass Animals",107,"SMS"
"1574",47,"Female","Divorced",4255,"bandit-picsou","Dachshunds",505,"OTP"
"1575",18,"Male","Single",2296,"bandit-profit","Dachshunds",457,"EMAIL"
"1576",63,"Male","Married",5567,"bandit-profit","Dachshunds",424,"ID"
"1577",51,"Male","Single",4142,"bandit-donsaluste","Trading Cards",56,"SMS"
"1578",36,"Male","Married",4722,"bandit-radinou","Dachshunds",497,"SMS"
"1579",30,"Female","Single",3520,"bandit-radinou","Brass Animals",79,"EMAIL"
"1580",66,"Female","Married",4240,"bandit-picsou","Trading Cards",55,"ID"
"1581",21,"Female","Single",3250,"bandit-radinou","Trading Cards",49,"OTP"
"1582",56,"Female","Married",3451,"bandit-donsaluste","Trading Cards",44,"ID"
"1583",72,"Male","Married",5079,"bandit-donsaluste","Trading Cards",51,"OTP"
"1584",52,"Female","Single",4562,"bandit-radinou","Brass Animals",100,"OTP"
"1585",32,"Male","Married",3579,"bandit-radinou","Dachshunds",503,"ID"
"1586",28,"Female","Married",2447,"bandit-radinou","Brass Animals",84,"SMS"
"1587",30,"Male","Single",3466,"bandit-donsaluste","Trading Cards",44,"EMAIL"
"1588",21,"Male","Single",2319,"bandit-picsou","Trading Cards",54,"EMAIL"
"1589",59,"Male","Married",4940,"bandit-donsaluste","Trading Cards",47,"OTP"
"1590",48,"Female","Married",4083,"bandit-profit","Trading Cards",36,"ID"
"1591",59,"Female","Married",5125,"bandit-profit","Brass Animals",91,"ID"
"1592",21,"Female","Single",2019,"bandit-radinou","Dachshunds",570,"SMS"
"1593",22,"Male","Single",2799,"bandit-profit","Trading Cards",52,"SMS"
"1594",76,"Female","Divorced",5694,"bandit-picsou","Dachshunds",512,"ID"
"1595",55,"Male","Divorced",4989,"bandit-profit","Dachshunds",385,"OTP"
"1596",55,"Male","Single",4763,"bandit-donsaluste","Trading Cards",48,"OTP"
"1597",29,"Female","Single",2927,"bandit-picsou","Dachshunds",561,"SMS"
"1598",72,"Male","Married",5030,"bandit-profit","Dachshunds",352,"SMS"
"1599",21,"Male","Single",2564,"bandit-radinou","Dachshunds",456,"EMAIL"
"1600",74,"Female","Married",5144,"bandit-profit","Brass Animals",128,"OTP"
"1601",44,"Female","Married",3994,"bandit-picsou","Dachshunds",416,"SMS"
"1602",41,"Male","Single",4088,"bandit-picsou","Trading Cards",38,"SMS"
"1603",34,"Male","Single",3769,"bandit-donsaluste","Trading Cards",46,"ID"
"1604",84,"Male","Widowed",4984,"bandit-donsaluste","Trading Cards",46,"SMS"
"1605",19,"Female","Single",2557,"bandit-donsaluste","Dachshunds",389,"OTP"
"1606",19,"Male","Single",2119,"bandit-picsou","Trading Cards",44,"SMS"
"1607",54,"Female","Divorced",4570,"bandit-donsaluste","Dachshunds",401,"EMAIL"
"1608",62,"Male","Married",4990,"bandit-profit","Trading Cards",53,"ID"
"1609",23,"Male","Single",2252,"bandit-profit","Trading Cards",47,"EMAIL"
"1610",29,"Female","Married",2261,"bandit-picsou","Brass Animals",111,"SMS"
"1611",54,"Male","Divorced",4724,"bandit-picsou","Dachshunds",486,"SMS"
"1612",64,"Male","Married",5576,"bandit-profit","Dachshunds",394,"EMAIL"
"1613",53,"Female","Married",4167,"bandit-donsaluste","Dachshunds",519,"OTP"
"1614",78,"Male","Married",4841,"bandit-profit","Dachshunds",367,"ID"
"1615",73,"Male","Single",4284,"bandit-profit","Trading Cards",47,"OTP"
"1616",19,"Male","Single",2619,"bandit-radinou","Trading Cards",51,"SMS"
"1617",41,"Female","Married",3809,"bandit-donsaluste","Brass Animals",83,"OTP"
"1618",40,"Female","Divorced",4377,"bandit-profit","Brass Animals",93,"SMS"
"1619",65,"Female","Married",5343,"bandit-profit","Trading Cards",64,"OTP"
"1620",72,"Female","Married",4919,"bandit-profit","Trading Cards",39,"ID"
"1621",36,"Male","Married",3539,"bandit-picsou","Trading Cards",58,"OTP"
"1622",25,"Female","Single",2716,"bandit-donsaluste","Dachshunds",407,"EMAIL"
"1623",37,"Male","Married",4004,"bandit-radinou","Dachshunds",234,"SMS"
"1624",48,"Female","Married",4054,"bandit-donsaluste","Dachshunds",465,"OTP"
"1625",74,"Male","Married",4783,"bandit-profit","Dachshunds",413,"EMAIL"
"1626",21,"Male","Single",2358,"bandit-radinou","Trading Cards",48,"EMAIL"
"1627",44,"Male","Single",4432,"bandit-picsou","Trading Cards",46,"OTP"
"1628",32,"Male","Single",3486,"bandit-picsou","Dachshunds",428,"SMS"
"1629",85,"Female","Widowed",4984,"bandit-profit","Dachshunds",426,"OTP"
"1630",68,"Male","Widowed",4584,"bandit-radinou","Brass Animals",114,"OTP"
"1631",86,"Female","Married",4645,"bandit-donsaluste","Dachshunds",514,"OTP"
"1632",59,"Male","Divorced",4615,"bandit-radinou","Brass Animals",122,"OTP"
"1633",63,"Female","Married",5101,"bandit-picsou","Dachshunds",403,"OTP"
"1634",45,"Female","Married",4216,"bandit-donsaluste","Trading Cards",38,"SMS"
"1635",90,"Female","Widowed",4935,"bandit-picsou","Brass Animals",90,"ID"
"1636",60,"Male","Divorced",5123,"bandit-profit","Dachshunds",233,"OTP"
"1637",22,"Female","Single",2436,"bandit-donsaluste","Dachshunds",536,"SMS"
"1638",63,"Female","Married",4441,"bandit-donsaluste","Dachshunds",375,"EMAIL"
"1639",51,"Female","Married",4447,"bandit-picsou","Dachshunds",417,"EMAIL"
"1640",61,"Male","Married",5080,"bandit-profit","Dachshunds",319,"OTP"
"1641",34,"Male","Single",3831,"bandit-radinou","Trading Cards",59,"EMAIL"
"1642",56,"Female","Widowed",4882,"bandit-profit","Dachshunds",437,"SMS"
"1643",51,"Male","Single",3946,"bandit-picsou","Trading Cards",53,"ID"
"1644",62,"Female","Married",4877,"bandit-profit","Trading Cards",44,"OTP"
"1645",34,"Female","Single",3812,"bandit-picsou","Trading Cards",64,"OTP"
"1646",50,"Male","Divorced",4371,"bandit-donsaluste","Dachshunds",368,"EMAIL"
"1647",66,"Female","Married",4831,"bandit-donsaluste","Trading Cards",46,"OTP"
"1648",24,"Male","Single",3119,"bandit-radinou","Trading Cards",33,"OTP"
"1649",38,"Male","Married",3276,"bandit-radinou","Dachshunds",396,"OTP"
"1650",21,"Female","Single",3080,"bandit-picsou","Trading Cards",60,"EMAIL"
"1651",24,"Female","Single",2853,"bandit-radinou","Trading Cards",43,"EMAIL"
"1652",72,"Female","Married",4650,"bandit-profit","Dachshunds",268,"OTP"
"1653",51,"Male","Married",4304,"bandit-donsaluste","Dachshunds",387,"ID"
"1654",56,"Female","Married",4220,"bandit-profit","Dachshunds",344,"OTP"
"1655",35,"Female","Single",4409,"bandit-radinou","Dachshunds",377,"SMS"
"1656",33,"Female","Single",3082,"bandit-radinou","Trading Cards",40,"EMAIL"
"1657",46,"Female","Widowed",4018,"bandit-profit","Dachshunds",289,"EMAIL"
"1658",58,"Male","Married",4344,"bandit-profit","Trading Cards",31,"ID"
"1659",53,"Female","Married",4234,"bandit-donsaluste","Dachshunds",381,"OTP"
"1660",49,"Female","Divorced",3780,"bandit-profit","Dachshunds",603,"OTP"
"1661",33,"Female","Single",2818,"bandit-picsou","Trading Cards",41,"EMAIL"
"1662",77,"Female","Married",5205,"bandit-profit","Trading Cards",48,"OTP"
"1663",66,"Female","Widowed",4920,"bandit-profit","Dachshunds",380,"OTP"
"1664",72,"Female","Married",4974,"bandit-profit","Dachshunds",335,"EMAIL"
"1665",18,"Female","Single",1208,"bandit-picsou","Trading Cards",51,"SMS"
"1666",67,"Male","Widowed",5457,"bandit-donsaluste","Brass Animals",113,"OTP"
"1667",80,"Female","Widowed",5521,"bandit-profit","Brass Animals",108,"OTP"
"1668",35,"Female","Single",3605,"bandit-picsou","Dachshunds",238,"OTP"
"1669",73,"Female","Widowed",5862,"bandit-profit","Brass Animals",90,"ID"
"1670",40,"Male","Married",3944,"bandit-profit","Brass Animals",105,"EMAIL"
"1671",26,"Male","Single",4125,"bandit-picsou","Trading Cards",53,"EMAIL"
"1672",67,"Female","Widowed",4519,"bandit-profit","Dachshunds",409,"ID"
"1673",26,"Female","Married",2938,"bandit-radinou","Dachshunds",389,"SMS"
"1674",50,"Female","Single",4745,"bandit-donsaluste","Dachshunds",298,"ID"
"1675",21,"Female","Single",2347,"bandit-profit","Trading Cards",47,"OTP"
"1676",26,"Female","Single",3085,"bandit-donsaluste","Dachshunds",537,"EMAIL"
"1677",78,"Female","Married",4701,"bandit-profit","Dachshunds",340,"ID"
"1678",67,"Male","Married",5161,"bandit-donsaluste","Trading Cards",61,"ID"
"1679",73,"Female","Married",4945,"bandit-donsaluste","Dachshunds",291,"OTP"
"1680",27,"Male","Single",2759,"bandit-radinou","Dachshunds",378,"OTP"
"1681",61,"Male","Divorced",4964,"bandit-profit","Brass Animals",67,"OTP"
"1682",25,"Male","Single",2886,"bandit-picsou","Brass Animals",127,"ID"
"1683",42,"Male","Single",3254,"bandit-picsou","Dachshunds",345,"OTP"
"1684",57,"Female","Married",4701,"bandit-profit","Dachshunds",271,"ID"
"1685",77,"Male","Married",4742,"bandit-profit","Brass Animals",92,"ID"
"1686",26,"Female","Single",2705,"bandit-donsaluste","Dachshunds",269,"SMS"
"1687",35,"Male","Married",3508,"bandit-picsou","Trading Cards",46,"SMS"
"1688",56,"Female","Married",4870,"bandit-donsaluste","Dachshunds",455,"ID"
"1689",42,"Male","Single",4566,"bandit-picsou","Trading Cards",24,"OTP"
"1690",31,"Male","Single",3377,"bandit-picsou","Dachshunds",433,"OTP"
"1691",68,"Male","Widowed",5237,"bandit-donsaluste","Brass Animals",99,"OTP"
"1692",59,"Female","Married",5108,"bandit-profit","Dachshunds",324,"OTP"
"1693",90,"Female","Divorced",5643,"bandit-profit","Dachshunds",256,"OTP"
"1694",21,"Female","Single",2805,"bandit-donsaluste","Dachshunds",350,"OTP"
"1695",32,"Female","Single",3000,"bandit-profit","Dachshunds",338,"ID"
"1696",72,"Male","Married",4790,"bandit-profit","Trading Cards",27,"OTP"
"1697",72,"Male","Widowed",5404,"bandit-donsaluste","Brass Animals",111,"OTP"
"1698",57,"Female","Married",4195,"bandit-donsaluste","Dachshunds",449,"ID"
"1699",88,"Female","Widowed",5558,"bandit-donsaluste","Brass Animals",108,"ID"
"1700",36,"Female","Single",3594,"bandit-donsaluste","Dachshunds",523,"SMS"
"1701",32,"Female","Divorced",3597,"bandit-radinou","Brass Animals",108,"EMAIL"
"1702",75,"Female","Widowed",5404,"bandit-profit","Brass Animals",106,"OTP"
"1703",26,"Female","Single",2988,"bandit-radinou","Brass Animals",93,"OTP"
"1704",28,"Female","Single",2840,"bandit-donsaluste","Dachshunds",309,"OTP"
"1705",73,"Male","Married",4958,"bandit-profit","Brass Animals",100,"SMS"
"1706",45,"Male","Single",4361,"bandit-profit","Dachshunds",462,"OTP"
"1707",34,"Male","Single",2962,"bandit-picsou","Dachshunds",423,"EMAIL"
"1708",47,"Female","Single",3857,"bandit-donsaluste","Brass Animals",95,"EMAIL"
"1709",67,"Male","Married",5091,"bandit-donsaluste","Dachshunds",537,"OTP"
"1710",75,"Male","Married",4890,"bandit-donsaluste","Brass Animals",79,"ID"
"1711",54,"Female","Married",3751,"bandit-donsaluste","Brass Animals",84,"SMS"
"1712",46,"Male","Married",4220,"bandit-picsou","Trading Cards",58,"OTP"
"1713",66,"Female","Married",5040,"bandit-donsaluste","Dachshunds",373,"ID"
"1714",66,"Female","Married",4513,"bandit-donsaluste","Brass Animals",121,"SMS"
"1715",21,"Female","Single",2317,"bandit-donsaluste","Dachshunds",165,"EMAIL"
"1716",90,"Female","Divorced",5433,"bandit-profit","Brass Animals",95,"ID"
"1717",19,"Male","Single",2595,"bandit-profit","Trading Cards",62,"EMAIL"
"1718",47,"Male","Divorced",3205,"bandit-profit","Trading Cards",60,"EMAIL"
"1719",84,"Male","Single",5454,"bandit-profit","Trading Cards",63,"OTP"
"1720",50,"Female","Married",4861,"bandit-profit","Brass Animals",103,"ID"
"1721",74,"Female","Married",4896,"bandit-profit","Dachshunds",398,"OTP"
"1722",67,"Male","Married",5438,"bandit-donsaluste","Dachshunds",501,"OTP"
"1723",31,"Male","Married",3102,"bandit-donsaluste","Dachshunds",403,"EMAIL"
"1724",29,"Male","Single",3447,"bandit-radinou","Trading Cards",49,"SMS"
"1725",36,"Male","Single",3713,"bandit-picsou","Dachshunds",479,"ID"
"1726",35,"Female","Single",3582,"bandit-picsou","Trading Cards",51,"OTP"
"1727",70,"Female","Widowed",5704,"bandit-profit","Brass Animals",99,"SMS"
"1728",26,"Male","Single",3473,"bandit-radinou","Dachshunds",270,"SMS"
"1729",60,"Female","Married",4476,"bandit-picsou","Dachshunds",382,"OTP"
"1730",83,"Female","Married",4789,"bandit-donsaluste","Brass Animals",98,"OTP"
"1731",47,"Female","Divorced",4054,"bandit-donsaluste","Brass Animals",109,"ID"
"1732",52,"Male","Married",4138,"bandit-picsou","Brass Animals",94,"OTP"
"1733",57,"Male","Married",4489,"bandit-radinou","Dachshunds",407,"OTP"
"1734",59,"Male","Married",4536,"bandit-radinou","Trading Cards",39,"OTP"
"1735",51,"Female","Married",4404,"bandit-profit","Dachshunds",247,"OTP"
"1736",52,"Male","Married",4903,"bandit-profit","Brass Animals",109,"OTP"
"1737",60,"Female","Married",5180,"bandit-donsaluste","Trading Cards",51,"ID"
"1738",49,"Female","Married",3876,"bandit-radinou","Trading Cards",61,"SMS"
"1739",63,"Male","Married",4523,"bandit-profit","Dachshunds",413,"ID"
"1740",65,"Male","Married",4376,"bandit-donsaluste","Trading Cards",51,"OTP"
"1741",39,"Male","Married",4051,"bandit-picsou","Brass Animals",109,"EMAIL"
"1742",47,"Male","Married",3883,"bandit-donsaluste","Dachshunds",379,"OTP"
"1743",33,"Female","Single",3352,"bandit-radinou","Trading Cards",34,"OTP"
"1744",47,"Female","Single",3690,"bandit-donsaluste","Dachshunds",365,"SMS"
"1745",87,"Male","Widowed",5343,"bandit-profit","Dachshunds",243,"ID"
"1746",56,"Female","Married",4351,"bandit-donsaluste","Dachshunds",461,"ID"
"1747",21,"Female","Single",1767,"bandit-picsou","Dachshunds",302,"SMS"
"1748",20,"Male","Single",2370,"bandit-picsou","Trading Cards",60,"SMS"
"1749",68,"Female","Divorced",4799,"bandit-donsaluste","Brass Animals",83,"OTP"
"1750",72,"Female","Married",5964,"bandit-donsaluste","Dachshunds",437,"SMS"
"1751",50,"Male","Single",3975,"bandit-donsaluste","Trading Cards",38,"OTP"
"1752",63,"Female","Divorced",5227,"bandit-donsaluste","Trading Cards",65,"ID"
"1753",27,"Female","Single",3394,"bandit-donsaluste","Trading Cards",51,"EMAIL"
"1754",82,"Female","Married",4900,"bandit-profit","Trading Cards",49,"OTP"
"1755",52,"Male","Married",4297,"bandit-profit","Trading Cards",45,"OTP"
"1756",56,"Female","Single",4842,"bandit-donsaluste","Dachshunds",379,"EMAIL"
"1757",21,"Male","Single",2555,"bandit-picsou","Trading Cards",50,"OTP"
"1758",80,"Male","Married",5810,"bandit-profit","Dachshunds",374,"ID"
"1759",48,"Female","Divorced",4842,"bandit-donsaluste","Dachshunds",203,"EMAIL"
"1760",64,"Female","Married",4890,"bandit-profit","Trading Cards",45,"OTP"
"1761",39,"Female","Divorced",4393,"bandit-picsou","Dachshunds",411,"ID"
"1762",38,"Male","Married",4524,"bandit-picsou","Trading Cards",51,"ID"
"1763",54,"Male","Married",4210,"bandit-donsaluste","Dachshunds",501,"OTP"
"1764",72,"Female","Married",4779,"bandit-profit","Brass Animals",91,"OTP"
"1765",42,"Male","Married",4602,"bandit-radinou","Brass Animals",102,"EMAIL"
